ID;hist_plan;data;grupa;podgrupa;sprzet;klient;region;ilosc;cena_hurt;obrot
10029;hist;032006;BI;mikrofalowki;mikrofalowki mechanicznie;G7;Sieci;9;940;7320,33
10030;hist;032006;BI;mikrofalowki;mikrofalowki mechanicznie;G7;Zachod;5;940;3883,28
10031;hist;032006;BI;mikrofalowki;mikrofalowki mechanicznie;MEDIA MARKT;Sieci;2;940;1767,78
10032;hist;032006;BI;mikrofalowki;mikrofalowki mechanicznie;PARTNER;Poludnie;7;940;5923,96
10033;hist;032006;BI;mikrofalowki;mikrofalowki mechanicznie;PARTNER;Zachod;2;940;1592,52
10034;hist;032006;BI;okapy;okapy kominowe;;Others;5;710;900,01
10035;hist;032006;BI;okapy;okapy kominowe;;Polnoc;77;710;54524,03
10036;hist;032006;BI;okapy;okapy kominowe;;Sieci;265;710;165169,43
10037;hist;032006;BI;okapy;okapy kominowe;;Wschod;9;710;6319,60
10038;hist;032006;BI;okapy;okapy kominowe;;Zachod;11;710;5356,78
10039;hist;032006;BI;okapy;okapy kominowe;AVANS;Poludnie;120;710;59059,41
10040;hist;032006;BI;okapy;okapy kominowe;AVANS;Zachod;69;710;44680,56
10041;hist;032006;BI;okapy;okapy kominowe;BRW-SA;Meblarze;22;710;10248,63
10042;hist;032006;BI;okapy;okapy kominowe;G7;Polnoc;82;710;53718,72
10043;hist;032006;BI;okapy;okapy kominowe;G7;Poludnie;189;710;132336,64
10044;hist;032006;BI;okapy;okapy kominowe;G7;Zachod;29;710;14337,05
10045;hist;032006;BI;okapy;okapy kominowe;MEDIA EXPERT;Polnoc;8;710;3767,65
10046;hist;032006;BI;okapy;okapy kominowe;MEDIA EXPERT;Poludnie;85;710;35993,42
10047;hist;032006;BI;okapy;okapy kominowe;MEDIA MARKT;Sieci;113;710;64975,30
10048;hist;032006;BI;okapy;okapy kominowe;NEONET;Zachod;145;710;73899,94
10049;hist;032006;BI;okapy;okapy kominowe;PARTNER;Wschod;46;710;31199,20
10050;hist;032006;BI;okapy;okapy kominowe;PARTNER;Zachod;122;710;61099,35
10051;hist;032006;BI;okapy;okapy meblowe;;Poludnie;6;335;1811,10
10052;hist;032006;BI;okapy;okapy meblowe;;Sieci;4;335;1100,40
10053;hist;032006;BI;okapy;okapy meblowe;;Wschod;7;335;2090,35
10054;hist;032006;BI;okapy;okapy meblowe;AVANS;Zachod;1;335;298,07
10055;hist;032006;BI;okapy;okapy meblowe;G7;Polnoc;4;335;1160,44
10056;hist;032006;BI;okapy;okapy meblowe;G7;Poludnie;5;335;1380,90
10057;hist;032006;BI;okapy;okapy meblowe;PARTNER;Poludnie;2;335;603,70
10058;hist;032006;BI;okapy;okapy teleskopowe;;Polnoc;135;311;37781,74
10059;hist;032006;BI;okapy;okapy teleskopowe;;Poludnie;33;311;9775,92
10060;hist;032006;BI;okapy;okapy teleskopowe;;Sieci;266;311;67996,00
10061;hist;032006;BI;okapy;okapy teleskopowe;;Wschod;2;311;521,61
10062;hist;032006;BI;okapy;okapy teleskopowe;;Zachod;5;311;1295,10
10063;hist;032006;BI;okapy;okapy teleskopowe;AVANS;Poludnie;106;311;29154,76
10064;hist;032006;BI;okapy;okapy teleskopowe;AVANS;Wschod;70;311;19807,65
10065;hist;032006;BI;okapy;okapy teleskopowe;AVANS;Zachód;58;311;14959,57
10066;hist;032006;BI;okapy;okapy teleskopowe;BRW-SA;Meblarze;8;311;2235,44
10067;hist;032006;BI;okapy;okapy teleskopowe;G7;Polnoc;103;311;26952,74
10068;hist;032006;BI;okapy;okapy teleskopowe;G7;Poludnie;103;311;27502,04
10069;hist;032006;BI;okapy;okapy teleskopowe;G7;Sieci;50;311;13160,00
10070;hist;032006;BI;okapy;okapy teleskopowe;G7;Zachod;32;311;8212,42
10071;hist;032006;BI;okapy;okapy teleskopowe;MEDIA EXPERT;Polnoc;21;311;5436,10
10072;hist;032006;BI;okapy;okapy teleskopowe;MEDIA EXPERT;Poludnie;35;311;9742,40
10073;hist;032006;BI;okapy;okapy teleskopowe;MEDIA MARKT;Sieci;102;311;29486,55
10074;hist;032006;BI;okapy;okapy teleskopowe;NEONET;Zachod;130;311;34829,01
10075;hist;032006;BI;okapy;okapy teleskopowe;PARTNER;Wschod;33;311;9103,97
10076;hist;032006;BI;okapy;okapy teleskopowe;PARTNER;Zachod;231;311;58093,52
10077;hist;032006;BI;okapy;okapy uniwersalne;;Meblarze;136;179;21071,02
10078;hist;032006;BI;okapy;okapy uniwersalne;;Others;11;179;1445,63
10079;hist;032006;BI;okapy;okapy uniwersalne;;Polnoc;272;179;46618,05
10080;hist;032006;BI;okapy;okapy uniwersalne;;Poludnie;373;179;55099,64
10081;hist;032006;BI;okapy;okapy uniwersalne;;Sieci;2407;179;335686,06
10082;hist;032006;BI;okapy;okapy uniwersalne;;Wschod;16;179;2282,02
10083;hist;032006;BI;okapy;okapy uniwersalne;AVANS;Poludnie;549;179;85574,62
10084;hist;032006;BI;okapy;okapy uniwersalne;AVANS;Wschod;242;179;36124,38
10085;hist;032006;BI;okapy;okapy uniwersalne;AVANS;Zachod;465;179;67522,83
10086;hist;032006;BI;okapy;okapy uniwersalne;BRW-SA;Meblarze;14;179;2436,22
10087;hist;032006;BI;okapy;okapy uniwersalne;G7;Polnoc;205;179;30569,30
10088;hist;032006;BI;okapy;okapy uniwersalne;G7;Poludnie;228;179;34061,70
10089;hist;032006;BI;okapy;okapy uniwersalne;G7;Sieci;165;179;26530,45
10090;hist;032006;BI;okapy;okapy uniwersalne;G7;Zachod;26;179;3272,99
10091;hist;032006;BI;okapy;okapy uniwersalne;MEDIA EXPERT;Polnoc;60;179;9386,00
10092;hist;032006;BI;okapy;okapy uniwersalne;MEDIA EXPERT;Poludnie;269;179;37976,22
10093;hist;032006;BI;okapy;okapy uniwersalne;MEDIA MARKT;Sieci;613;179;95109,53
10094;hist;032006;BI;okapy;okapy uniwersalne;NEONET;Zachod;526;179;75152,74
10095;hist;032006;BI;okapy;okapy uniwersalne;PARTNER;Poludnie;140;179;23665,70
10096;hist;032006;BI;okapy;okapy uniwersalne;PARTNER;Wschod;249;179;40749,14
10097;hist;032006;BI;okapy;okapy uniwersalne;PARTNER;Zachod;346;179;49788,04
10098;hist;032006;BI;sprzet grzejny;kuchnie do zabudowy;;Meblarze;103;1568;115307,31
10099;hist;032006;BI;sprzet grzejny;kuchnie do zabudowy;;Others;5;1568;5577,40
10100;hist;032006;BI;sprzet grzejny;kuchnie do zabudowy;;Polnoc;77;1568;107707,92
10101;hist;032006;BI;sprzet grzejny;kuchnie do zabudowy;;Poludnie;258;1568;335032,17
10102;hist;032006;BI;sprzet grzejny;kuchnie do zabudowy;;Sieci;286;1568;328835,89
10103;hist;032006;BI;sprzet grzejny;kuchnie do zabudowy;;Wschod;14;1568;19616,88
10104;hist;032006;BI;sprzet grzejny;kuchnie do zabudowy;;Zachod;4;1568;5835,05
10105;hist;032006;BI;sprzet grzejny;kuchnie do zabudowy;AVANS;Poludnie;127;1568;124022,93
10106;hist;032006;BI;sprzet grzejny;kuchnie do zabudowy;AVANS;Wschod;113;1568;168560,31
10107;hist;032006;BI;sprzet grzejny;kuchnie do zabudowy;AVANS;Zachod;63;1568;78522,15
10108;hist;032006;BI;sprzet grzejny;kuchnie do zabudowy;G7;Poludnie;152;1568;205965,51
10109;hist;032006;BI;sprzet grzejny;kuchnie do zabudowy;G7;Zachod;5;1568;6676,22
10110;hist;032006;BI;sprzet grzejny;kuchnie do zabudowy;MEDIA EXPERT;Polnoc;19;1568;22763,03
10111;hist;032006;BI;sprzet grzejny;kuchnie do zabudowy;MEDIA EXPERT;Poludnie;1;1568;1483,44
10112;hist;032006;BI;sprzet grzejny;kuchnie do zabudowy;MEDIA MARKT;Sieci;271;1568;334528,01
10113;hist;032006;BI;sprzet grzejny;kuchnie do zabudowy;NEONET;Zachod;173;1568;238275,19
10114;hist;032006;BI;sprzet grzejny;kuchnie do zabudowy;OKAY;Sieci;3;1568;2850,00
10115;hist;032006;BI;sprzet grzejny;kuchnie do zabudowy;PARTNER;Poludnie;109;1568;144822,75
10116;hist;032006;BI;sprzet grzejny;kuchnie do zabudowy;PARTNER;Wschod;32;1568;46276,01
10117;hist;032006;BI;sprzet grzejny;kuchnie do zabudowy;PARTNER;Zachod;152;1568;153360,10
10118;hist;032006;BI;sprzet grzejny;piekarniki;;Meblarze;36;929;26261,96
10119;hist;032006;BI;sprzet grzejny;piekarniki;;Others;7;929;5257,05
10120;hist;032006;BI;sprzet grzejny;piekarniki;;Polnoc;266;929;146987,91
10121;hist;032006;BI;sprzet grzejny;piekarniki;;Poludnie;257;929;189255,20
10122;hist;032006;BI;sprzet grzejny;piekarniki;;Sieci;441;929;296795,02
10123;hist;032006;BI;sprzet grzejny;piekarniki;;Wschod;13;929;11861,52
10124;hist;032006;BI;sprzet grzejny;piekarniki;;Zachod;13;929;8556,41
10125;hist;032006;BI;sprzet grzejny;piekarniki;AVANS;Poludnie;51;929;39599,91
10126;hist;032006;BI;sprzet grzejny;piekarniki;AVANS;Wschod;86;929;63382,17
10127;hist;032006;BI;sprzet grzejny;piekarniki;AVANS;Zachod;106;929;81338,06
10128;hist;032006;BI;sprzet grzejny;piekarniki;BRW-SA;Meblarze;51;929;37837,06
10129;hist;032006;BI;sprzet grzejny;piekarniki;G7;Polnoc;94;929;74555,21
10130;hist;032006;BI;sprzet grzejny;piekarniki;G7;Poludnie;164;929;131175,41
10131;hist;032006;BI;sprzet grzejny;piekarniki;G7;Sieci;71;929;47223,59
10132;hist;032006;BI;sprzet grzejny;piekarniki;G7;Zachod;70;929;37991,66
10133;hist;032006;BI;sprzet grzejny;piekarniki;MEDIA EXPERT;Polnoc;13;929;6911,65
10134;hist;032006;BI;sprzet grzejny;piekarniki;MEDIA EXPERT;Poludnie;56;929;24954,59
10135;hist;032006;BI;sprzet grzejny;piekarniki;MEDIA MARKT;Sieci;233;929;212575,38
10136;hist;032006;BI;sprzet grzejny;piekarniki;NEONET;Zachod;428;929;290189,48
10137;hist;032006;BI;sprzet grzejny;piekarniki;OKAY;Sieci;18;929;13304,25
10138;hist;032006;BI;sprzet grzejny;piekarniki;PARTNER;Poludnie;218;929;177814,46
10139;hist;032006;BI;sprzet grzejny;piekarniki;PARTNER;Wschod;56;929;38351,39
10140;hist;032006;BI;sprzet grzejny;piekarniki;PARTNER;Zachod;99;929;65177,21
10141;hist;032006;BI;sprzet grzejny;plyty grzejne;;Others;7;593;1433,11
10142;hist;032006;BI;sprzet grzejny;plyty grzejne;;Polnoc;283;593;116646,02
10143;hist;032006;BI;sprzet grzejny;plyty grzejne;;Poludnie;206;593;87854,17
10144;hist;032006;BI;sprzet grzejny;plyty grzejne;;Sieci;494;593;240897,89
10145;hist;032006;BI;sprzet grzejny;plyty grzejne;;Zachod;12;593;4937,49
10146;hist;032006;BI;sprzet grzejny;plyty grzejne;AVANS;Wschod;92;593;34485,76
10147;hist;032006;BI;sprzet grzejny;plyty grzejne;BRW-SA;Meblarze;49;593;25898,67
10148;hist;032006;BI;sprzet grzejny;plyty grzejne;E-WORLD;Sieci;2;593;617,12
10149;hist;032006;BI;sprzet grzejny;plyty grzejne;G7;Poludnie;253;593;102119,27
10150;hist;032006;BI;sprzet grzejny;plyty grzejne;G7;Zachod;76;593;29118,05
10151;hist;032006;BI;sprzet grzejny;plyty grzejne;MEDIA EXPERT;Polnoc;15;593;5612,11
10152;hist;032006;BI;sprzet grzejny;plyty grzejne;MEDIA EXPERT;Poludnie;73;593;24990,02
10153;hist;032006;BI;sprzet grzejny;plyty grzejne;NEONET;Zachod;366;593;110730,21
10154;hist;032006;BI;sprzet grzejny;plyty grzejne;OKAY;Sieci;18;593;9045,09
10155;hist;032006;BI;sprzet grzejny;plyty grzejne;PARTNER;Poludnie;174;593;91089,01
10156;hist;032006;BI;sprzet grzejny;plyty grzejne;PARTNER;Wschod;42;593;20125,91
10157;hist;032006;BI;sprzet grzejny;plyty grzejne;PARTNER;Zachod;75;593;38929,95
10158;hist;032006;BI;zmywarki;zmywarki 45;;Meblarze;7;1493;7077,15
10159;hist;032006;BI;zmywarki;zmywarki 45;;Poludnie;1;1493;866,72
10160;hist;032006;BI;zmywarki;zmywarki 45;;Sieci;1;1493;1116,43
10161;hist;032006;BI;zmywarki;zmywarki 45;AVANS;Wschod;2;1493;2746,56
10162;hist;032006;BI;zmywarki;zmywarki 45;AVANS;Zachod;8;1493;10986,24
10163;hist;032006;BI;zmywarki;zmywarki 45;BRW-SA;Meblarze;1;1493;1390,71
10164;hist;032006;BI;zmywarki;zmywarki 45;G7;Polnoc;13;1493;16040,44
10165;hist;032006;BI;zmywarki;zmywarki 45;G7;Poludnie;2;1493;2163,32
10166;hist;032006;BI;zmywarki;zmywarki 45;G7;Zachod;1;1493;983,27
10167;hist;032006;BI;zmywarki;zmywarki 45;PARTNER;Poludnie;1;1493;1390,71
10168;hist;032006;BI;zmywarki;zmywarki 45;PARTNER;Wschod;1;1493;1421,61
10169;hist;032006;BI;zmywarki;zmywarki 60;;Meblarze;12;1445;14558,07
10170;hist;032006;BI;zmywarki;zmywarki 60;;Others;4;1445;3805,40
10171;hist;032006;BI;zmywarki;zmywarki 60;;Polnoc;26;1445;27759,89
10172;hist;032006;BI;zmywarki;zmywarki 60;;Poludnie;45;1445;54022,07
10173;hist;032006;BI;zmywarki;zmywarki 60;;Sieci;41;1445;50056,61
10174;hist;032006;BI;zmywarki;zmywarki 60;;Wschod;1;1445;1253,36
10175;hist;032006;BI;zmywarki;zmywarki 60;;Zachod;3;1445;3342,00
10176;hist;032006;BI;zmywarki;zmywarki 60;AVANS;Poludnie;22;1445;25502,40
10177;hist;032006;BI;zmywarki;zmywarki 60;AVANS;Wschod;14;1445;17105,78
10178;hist;032006;BI;zmywarki;zmywarki 60;AVANS;Zachod;19;1445;22191,73
10179;hist;032006;BI;zmywarki;zmywarki 60;BRW-SA;Meblarze;8;1445;10024,30
10180;hist;032006;BI;zmywarki;zmywarki 60;G7;Polnoc;35;1445;39808,72
10181;hist;032006;BI;zmywarki;zmywarki 60;G7;Poludnie;36;1445;43131,63
10182;hist;032006;BI;zmywarki;zmywarki 60;G7;Zachod;2;1445;2190,93
10183;hist;032006;BI;zmywarki;zmywarki 60;MEDIA EXPERT;Poludnie;1;1445;1379,60
10184;hist;032006;BI;zmywarki;zmywarki 60;MEDIA MARKT;Sieci;43;1445;56886,61
10185;hist;032006;BI;zmywarki;zmywarki 60;NEONET;Zachod;45;1445;52592,50
10186;hist;032006;BI;zmywarki;zmywarki 60;PARTNER;Poludnie;38;1445;44833,93
10187;hist;032006;BI;zmywarki;zmywarki 60;PARTNER;Zachod;20;1445;22360,97
10188;hist;032006;FS;chlodnictwo;chlodziarki;;Others;47;693;3413,27
10189;hist;032006;FS;chlodnictwo;chlodziarki;;Polnoc;77;693;47713,48
10190;hist;032006;FS;chlodnictwo;chlodziarki;;Sieci;195;693;107277,86
10191;hist;032006;FS;chlodnictwo;chlodziarki;;Zachod;4;693;2280,20
10192;hist;032006;FS;chlodnictwo;chlodziarki;AVANS;Poludnie;42;693;25720,68
10193;hist;032006;FS;chlodnictwo;chlodziarki;AVANS;Wschod;15;693;8580,20
10194;hist;032006;FS;chlodnictwo;chlodziarki;AVANS;Zachod;62;693;36088,70
10195;hist;032006;FS;chlodnictwo;chlodziarki;G7;Polnoc;15;693;9710,40
10196;hist;032006;FS;chlodnictwo;chlodziarki;G7;Poludnie;80;693;45796,00
10197;hist;032006;FS;chlodnictwo;chlodziarki;G7;Sieci;10;693;5700,50
10198;hist;032006;FS;chlodnictwo;chlodziarki;MEDIA MARKT;Sieci;31;693;19252,22
10199;hist;032006;FS;chlodnictwo;chlodziarki;NEONET;Zachod;102;693;59395,50
10200;hist;032006;FS;chlodnictwo;chlodziarki;PARTNER;Poludnie;107;693;62120,90
10201;hist;032006;FS;chlodnictwo;chlodziarki;PARTNER;Wschod;2;693;1157,32
10202;hist;032006;FS;chlodnictwo;chlodziarki;PARTNER;Zachod;364;693;209801,56
10203;hist;032006;FS;chlodnictwo;lodowki dwudrzwiowe;;Meblarze;1;813;316,42
10204;hist;032006;FS;chlodnictwo;lodowki dwudrzwiowe;;Others;19;813;5269,10
10205;hist;032006;FS;chlodnictwo;lodowki dwudrzwiowe;;Polnoc;35;813;23505,40
10206;hist;032006;FS;chlodnictwo;lodowki dwudrzwiowe;;Poludnie;50;813;40042,02
10207;hist;032006;FS;chlodnictwo;lodowki dwudrzwiowe;;Sieci;379;813;237709,67
10208;hist;032006;FS;chlodnictwo;lodowki dwudrzwiowe;;Wschod;8;813;5542,51
10209;hist;032006;FS;chlodnictwo;lodowki dwudrzwiowe;;Zachod;20;813;13200,00
10210;hist;032006;FS;chlodnictwo;lodowki dwudrzwiowe;AVANS;Poludnie;65;813;49516,70
10211;hist;032006;FS;chlodnictwo;lodowki dwudrzwiowe;AVANS;Zachod;102;813;69341,09
10212;hist;032006;FS;chlodnictwo;lodowki dwudrzwiowe;G7;Polnoc;13;813;8580,00
10213;hist;032006;FS;chlodnictwo;lodowki dwudrzwiowe;G7;Poludnie;72;813;45266,91
10214;hist;032006;FS;chlodnictwo;lodowki dwudrzwiowe;G7;Sieci;78;813;50700,00
10215;hist;032006;FS;chlodnictwo;lodowki dwudrzwiowe;MEDIA EXPERT;Poludnie;34;813;22656,76
10216;hist;032006;FS;chlodnictwo;lodowki dwudrzwiowe;MEDIA MARKT;Sieci;155;813;102914,32
10217;hist;032006;FS;chlodnictwo;lodowki dwudrzwiowe;NEONET;Zachod;42;813;31489,81
10218;hist;032006;FS;chlodnictwo;lodowki dwudrzwiowe;OKAY;Sieci;19;813;12280,00
10219;hist;032006;FS;chlodnictwo;lodowki dwudrzwiowe;PARTNER;Poludnie;42;813;30626,22
10220;hist;032006;FS;chlodnictwo;lodowki dwudrzwiowe;PARTNER;Wschod;17;813;12201,59
10221;hist;032006;FS;chlodnictwo;lodowki kombi;;Others;41;1108;13641,15
10222;hist;032006;FS;chlodnictwo;lodowki kombi;;Polnoc;453;1108;401731,97
10223;hist;032006;FS;chlodnictwo;lodowki kombi;;Poludnie;531;1108;465165,07
10224;hist;032006;FS;chlodnictwo;lodowki kombi;;Sieci;1411;1108;1103926,24
10225;hist;032006;FS;chlodnictwo;lodowki kombi;;Wschod;25;1108;24860,23
10226;hist;032006;FS;chlodnictwo;lodowki kombi;;Zachod;24;1108;19888,64
10227;hist;032006;FS;chlodnictwo;lodowki kombi;AVANS;Poludnie;142;1108;130538,28
10228;hist;032006;FS;chlodnictwo;lodowki kombi;AVANS;Wschod;150;1108;136126,50
10229;hist;032006;FS;chlodnictwo;lodowki kombi;AVANS;Zachod;448;1108;415653,92
10230;hist;032006;FS;chlodnictwo;lodowki kombi;G7;Polnoc;38;1108;33923,39
10231;hist;032006;FS;chlodnictwo;lodowki kombi;G7;Poludnie;442;1108;386787,60
10232;hist;032006;FS;chlodnictwo;lodowki kombi;G7;Sieci;35;1108;32061,00
10233;hist;032006;FS;chlodnictwo;lodowki kombi;MEDIA EXPERT;Polnoc;30;1108;24815,70
10234;hist;032006;FS;chlodnictwo;lodowki kombi;MEDIA EXPERT;Poludnie;85;1108;78183,15
10235;hist;032006;FS;chlodnictwo;lodowki kombi;MEDIA EXPERT;Zachod;60;1108;54835,80
10236;hist;032006;FS;chlodnictwo;lodowki kombi;MEDIA MARKT;Sieci;203;1108;187383,62
10237;hist;032006;FS;chlodnictwo;lodowki kombi;NEONET;Zachod;387;1108;361597,51
10238;hist;032006;FS;chlodnictwo;lodowki kombi;OKAY;Sieci;13;1108;12335,12
10239;hist;032006;FS;chlodnictwo;lodowki kombi;PARTNER;Poludnie;83;1108;84641,54
10240;hist;032006;FS;chlodnictwo;lodowki kombi;PARTNER;Wschod;164;1108;144413,55
10241;hist;032006;FS;chlodnictwo;lodowki kombi;PARTNER;Zachod;176;1108;159033,36
10242;hist;032006;FS;chlodnictwo;zamrazarki;;Others;6;843;1616,71
